,job_index,python_version,pyres_version,atp_version,total_runs,unique_solved_problems,ctr_Unsatisfiable,ctr_GaveUp,ctr_Inappropriate,ctr_Satisfiable,ctr_Theorem,ctr_ResourceOut,initial_clauses_mean_all,initial_clauses_med_all,initial_clauses_std_all,graph_construction_time_mean_all,graph_construction_time_med_all,graph_construction_time_std_all,neighbourhood_computation_time_mean_all,neighbourhood_computation_time_med_all,neighbourhood_computation_time_std_all,cpu time_mean_all,cpu time_med_all,cpu time_std_all,wallclock time_mean_all,wallclock time_med_all,wallclock time_std_all,memory usage_mean_all,memory usage_med_all,memory usage_std_all,rel_distance_values
0,5054,3.6.8,1.5,1.0.0,33352,977,3554,4720,104,402,3610,4,17.87266126780229,9.0,20.47162765980047,0.04781557609198768,0.0079949785,0.11442664242946549,0.15069378511013398,0.0048890559999999,0.45382723989187307,1.20378116144746,0.910208,0.7853187963735532,1.3290594377174667,1.05025,0.7338910434523016,313219.4822546973,366588.0,129868.56545588771,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
1,5055,3.6.8,1.5,1.0.0,20895,604,1247,2557,65,77,1326,0,6.777302759424796,5.0,5.128268956361708,0.0061043681745044254,0.0016530749999999,0.014036846325131644,0.005625781645938556,0.0005711989999999,0.01715013466873514,0.799255122813836,0.789996,0.12352400287535684,0.9255787932374661,0.929095,0.08108315133844259,356884.0310921104,366588.0,142785.8991421786,"[2.0, 3.0, 8.0, 21.0, 54.0, nan]"
2,5111,3.6.8,1.5,1.1.0,33432,981,3603,4735,104,430,3879,1,19.979679144385027,10.0,23.48619606135777,0.06196450530780536,0.009322009499999999,0.14683208256409275,0.006371540742314847,0.0010499335,0.01933304628457681,1.1120812459235498,0.839451,0.7429326212010178,1.2366417103715583,0.9778645,0.6992135319532605,351768.04437316227,366588.0,126035.676335929,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
3,5135,3.13.0,1.5,0.0.0,4179,1311,800,0,13,115,512,2603,94.38719512195122,15.0,394.0631246741785,,,,,,,0.9972664923780488,0.6791955000000001,0.8134387042409033,1.163263443597561,0.832392,0.7966846993006812,271936.01524390245,272700.0,32891.30991145846,[]
4,5136,3.13.0,1.5,1.0.0,33432,1167,3937,5012,104,439,3677,19214,20.048463356973997,10.0,27.996723263028596,0.10193653058917777,0.004733283499999999,0.45580899337442776,0.18337880830063036,0.00635666249999995,0.4988180828233005,1.1795493430973334,0.691291,1.0645535929811207,1.3079877393931434,0.841649,1.004086541914486,270276.3462498358,272684.0,29863.4771164357,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
5,5137,3.13.0,1.5,1.1.0,33432,1224,5124,5012,104,461,4002,17513,42.84327049539676,14.0,71.1061117424526,0.44352261388845055,0.008729713999999899,0.9778900277037127,0.01789444891650226,0.0011948529999998999,0.048574538875260656,1.3879686416831032,0.7052069999999999,1.2866184961075513,1.5134154275695815,0.8531515000000001,1.2264885961954166,270349.8365110673,272684.0,26323.446535295414,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
6,5139,3.13.0,1.5,1.1.1,33432,1228,5014,4700,104,466,3813,16488,71.43287640194856,15.0,123.1073156607262,0.457960851960009,0.008764253,0.9931105110853469,0.016907812031834106,0.0011663709999999,0.04471663054474022,1.4349065733544806,0.719829,1.3435580308255148,1.555899296023564,0.871541,1.2704026047617973,272517.29466409876,272696.0,25594.662944698608,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
7,5151,3.13.0,1.5,0.0.0,4179,1311,797,0,13,113,515,2614,94.70045731707317,16.0,394.02927799131845,,,,,,,0.9968386773455377,0.684743,0.7763294421733138,1.1880624256292907,0.834688,0.9206785569986311,276458.8558352403,272700.0,40967.28103072247,[]
8,5199,3.13.0,1.5,1.1.2,33328,1226,4878,4618,0,447,3753,16327,71.10068358243541,15.0,122.93702120441561,0.45210552644166374,0.008706699,0.9842526243837074,0.016786230781253582,0.001119263,0.04452175068329966,1.423613713673233,0.712009,1.333493393010167,1.5459293703360368,0.8584715,1.2666719709506633,272286.87694090384,272688.0,23396.474408168902,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
9,5201,3.13.0,1.5,2.1.0,33328,1227,4861,4682,0,452,3750,16588,72.0444831591173,15.0,123.4106824152698,0.22788067726396466,0.004612622,0.4876738346157479,0.009873918904424532,0.000563892,0.028203267418734794,1.1787199182441064,0.701364,0.9119840532913113,1.3107219927999072,0.849787,0.8706954457465881,272198.5725235164,272712.0,25150.757958827755,"[2.0, 3.0, 5.0, 8.0, 13.0, 21.0, 33.0, 54.0, nan]"
