,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
317,weight,298,59716,0,0.19582505900000002,0.016701056000000002,"<code object weight at 0x10b594f30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 298>","[_lsprof.profiler_subentry(code=<code object termWeight at 0x10b571e30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 255>, callcount=59716, reccallcount=0, totaltime=0.179124003, inlinetime=0.043718204000000004)]"
338,__init__,174,44520,0,0.005951001,0.005951001,"<code object __init__ at 0x10b5c03f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 174>",
371,mgu,210,42871,0,0.7307609140000001,0.045395959,"<code object mgu at 0x10b5d9230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 210>","[_lsprof.profiler_subentry(code=<code object __or__ at 0x1004b1f10, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py"", line 1581>, callcount=4, reccallcount=0, totaltime=2.9250000000000003e-05, inlinetime=1.0667000000000001e-05), _lsprof.profiler_subentry(code=<code object __exit__ at 0x100764f30, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py"", line 306>, callcount=1, reccallcount=0, totaltime=1.333e-06, inlinetime=1.125e-06), _lsprof.profiler_subentry(code=<code object _flush_buffers at 0x1031952f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/iostream.py"", line 710>, callcount=1, reccallcount=0, totaltime=4.16e-07, inlinetime=4.16e-07), _lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10a32a3d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=4, reccallcount=0, totaltime=5.3625e-05, inlinetime=2.8709000000000002e-05), _lsprof.profiler_subentry(code=<code object mguTermList at 0x13aaf2400, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>, callcount=42867, reccallcount=34698, totaltime=0.118205079, inlinetime=0.25871978700000003), _lsprof.profiler_subentry(code=<code object __init__ at 0x10b4df630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=42871, reccallcount=0, totaltime=0.010652202000000001, inlinetime=0.010652202000000001), _lsprof.profiler_subentry(code=<code object send at 0x129e513d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/zmq/sugar/socket.py"", line 626>, callcount=3, reccallcount=0, totaltime=9.416700000000001e-05, inlinetime=6.9503e-05)]"
424,mguTermList,151,42871,0,0.67450246,0.25876183,"<code object mguTermList at 0x13aaf2400, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>","[_lsprof.profiler_subentry(code=<code object __or__ at 0x1004b1f10, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py"", line 1581>, callcount=1, reccallcount=0, totaltime=9.958e-06, inlinetime=3.2510000000000003e-06), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=190314, reccallcount=0, totaltime=0.021839125, inlinetime=0.021839125), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=105299, reccallcount=0, totaltime=0.019195519, inlinetime=0.019195519), _lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=171478, reccallcount=0, totaltime=0.028369649, inlinetime=0.028369649), _lsprof.profiler_subentry(code=<code object composeBinding at 0x10b51d7c0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 150>, callcount=9046, reccallcount=0, totaltime=0.016145636, inlinetime=0.010323262000000001), _lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10a32a3d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=4, reccallcount=0, totaltime=4.3499000000000005e-05, inlinetime=2.3331e-05), _lsprof.profiler_subentry(code=<code object occursCheck at 0x10b5f0e70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 136>, callcount=9046, reccallcount=0, totaltime=0.008468048, inlinetime=0.004141064), _lsprof.profiler_subentry(code=<code object __init__ at 0x10b4df630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=9046, reccallcount=0, totaltime=0.004236228, inlinetime=0.00418752), _lsprof.profiler_subentry(code=<code object termArgs at 0x10b595630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=105299, reccallcount=0, totaltime=0.085856281, inlinetime=0.037626715000000005), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10b595430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=165305, reccallcount=0, totaltime=0.039359677, inlinetime=0.039359677), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x10b5c13e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=153369, reccallcount=0, totaltime=0.073743157, inlinetime=0.041547771000000004), _lsprof.profiler_subentry(code=<code object termFunc at 0x10b595530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=153365, reccallcount=120579, totaltime=0.023609734, inlinetime=0.048001368), _lsprof.profiler_subentry(code=<code object __get__ at 0x1016d6d50, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/traitlets/traitlets.py"", line 676>, callcount=1, reccallcount=0, totaltime=3.208e-06, inlinetime=1.833e-06), _lsprof.profiler_subentry(code=<code object _acquire_restore at 0x100765130, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py"", line 315>, callcount=1, reccallcount=0, totaltime=2.375e-06, inlinetime=1.5e-06), _lsprof.profiler_subentry(code=<code object send at 0x129e513d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/zmq/sugar/socket.py"", line 626>, callcount=1, reccallcount=0, totaltime=1.3083000000000002e-05, inlinetime=1.3083000000000002e-05), _lsprof.profiler_subentry(code=""<method 'remove' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=1.458e-06, inlinetime=1.458e-06)]"
347,atomIsConstFalse,120,37660,0,0.118522791,0.013366456,"<code object atomIsConstFalse at 0x10b5c12f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 120>","[_lsprof.profiler_subentry(code=<code object termEqual at 0x10b59e420, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=37660, reccallcount=0, totaltime=0.105156335, inlinetime=0.033770844)]"
346,atomIsConstTrue,113,31710,0,0.10035485400000001,0.011665388,"<code object atomIsConstTrue at 0x10b5c1200, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 113>","[_lsprof.profiler_subentry(code=<code object termEqual at 0x10b59e420, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=31710, reccallcount=0, totaltime=0.08868946600000001, inlinetime=0.028598420000000003)]"
354,__call__,72,29746,0,0.22961224600000002,0.009591186,"<code object __call__ at 0x10b5c1c50, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 72>","[_lsprof.profiler_subentry(code=<code object hEval at 0x10b4df510, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 117>, callcount=14873, reccallcount=0, totaltime=0.217705046, inlinetime=0.0052711170000000005), _lsprof.profiler_subentry(code=<code object hEval at 0x10b553330, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 97>, callcount=14873, reccallcount=0, totaltime=0.0023160140000000004, inlinetime=0.0023160140000000004)]"
376,edge_neighb_of_subset,91,16200,0,0.048131899000000006,0.048131899000000006,"<code object edge_neighb_of_subset at 0x10b604690, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>",
363,,98,16200,0,0.052260537,0.0041286380000000004,"<code object <lambda> at 0x10b5c3870, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 98>","[_lsprof.profiler_subentry(code=<code object edge_neighb_of_subset at 0x10b604690, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>, callcount=16200, reccallcount=0, totaltime=0.048131899000000006, inlinetime=0.048131899000000006)]"
294,addClause,67,15338,0,0.008368827,0.0050867,"<code object addClause at 0x10b552ef0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clausesets.py"", line 67>","[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=15338, reccallcount=0, totaltime=0.003282127, inlinetime=0.003282127)]"
