,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
240,termCollectVars,210,5068,3733,0.008679909000000001,0.004128021,"<code object termCollectVars at 0x107746140, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 210>","[_lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10351d030, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=2, reccallcount=0, totaltime=2.3917e-05, inlinetime=1.3499e-05), _lsprof.profiler_subentry(code=<code object termIsVar at 0x107763030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=5068, reccallcount=0, totaltime=0.001142447, inlinetime=0.001142447), _lsprof.profiler_subentry(code=""<method 'add' of 'set' objects>"", callcount=965, reccallcount=0, totaltime=0.00016008, inlinetime=0.00016008), _lsprof.profiler_subentry(code=<code object termArgs at 0x107763230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=4103, reccallcount=0, totaltime=0.003225444, inlinetime=0.001345281), _lsprof.profiler_subentry(code=<code object termCollectVars at 0x107746140, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 210>, callcount=3733, reccallcount=0, totaltime=0.005247532, inlinetime=0.0021227530000000002)]"
284,__init__,19,5006,0,0.0006377150000000001,0.0006377150000000001,"<code object __init__ at 0x1077b2c40, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 19>",
278,__init__,106,4338,0,0.0005754120000000001,0.0005754120000000001,"<code object __init__ at 0x1077b1a70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 106>",
248,LookLit,215,4023,0,0.027103005000000003,0.001259692,"<code object LookLit at 0x107760230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 215>","[_lsprof.profiler_subentry(code=<code object Look at 0x1076798a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 207>, callcount=4023, reccallcount=0, totaltime=0.025843313000000003, inlinetime=0.001954869)]"
282,isUnary,161,3350,0,0.00044133000000000003,0.00044133000000000003,"<code object isUnary at 0x1077b21f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 161>",
190,isEqual,246,3268,646,0.06502216400000001,0.002201526,"<code object isEqual at 0x1075401b0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 246>","[_lsprof.profiler_subentry(code=<code object isLiteral at 0x1077b1f20, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 130>, callcount=3180, reccallcount=0, totaltime=0.00035915100000000004, inlinetime=0.00035915100000000004), _lsprof.profiler_subentry(code=<code object isUnary at 0x1077b21f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 161>, callcount=270, reccallcount=0, totaltime=3.5266000000000004e-05, inlinetime=3.5266000000000004e-05), _lsprof.profiler_subentry(code=<code object isQuantified at 0x1077b2010, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 149>, callcount=411, reccallcount=0, totaltime=5.5848000000000005e-05, inlinetime=5.5848000000000005e-05), _lsprof.profiler_subentry(code=<code object isEqual at 0x1075401b0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 246>, callcount=646, reccallcount=572, totaltime=0.00560042, inlinetime=0.000608378), _lsprof.profiler_subentry(code=<code object isEqual at 0x107676c30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 234>, callcount=2769, reccallcount=0, totaltime=0.062289413, inlinetime=0.0021536750000000003), _lsprof.profiler_subentry(code=<code object termEqual at 0x1077c4350, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=141, reccallcount=0, totaltime=8.096000000000001e-05, inlinetime=4.5412000000000005e-05)]"
177,parseTerm,132,2784,2035,0.116755963,0.005482304,"<code object parseTerm at 0x103774f00, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 132>","[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=2624, reccallcount=0, totaltime=0.000539359, inlinetime=0.000539359), _lsprof.profiler_subentry(code=<code object TestTok at 0x107675a50, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 222>, callcount=5408, reccallcount=0, totaltime=0.068391169, inlinetime=0.006633771), _lsprof.profiler_subentry(code=<code object Next at 0x107620b10, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 288>, callcount=2784, reccallcount=0, totaltime=0.0030088840000000003, inlinetime=0.001099477), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=714, reccallcount=0, totaltime=0.000173201, inlinetime=0.000173201), _lsprof.profiler_subentry(code=<code object CheckTok at 0x1077445f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 236>, callcount=2624, reccallcount=0, totaltime=0.0066681530000000004, inlinetime=0.000794132), _lsprof.profiler_subentry(code=<code object AcceptTok at 0x107679570, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 247>, callcount=1428, reccallcount=0, totaltime=0.010049748, inlinetime=0.0007428360000000001), _lsprof.profiler_subentry(code=<code object parseTermList at 0x10376b640, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 120>, callcount=714, reccallcount=0, totaltime=0.09159539200000001, inlinetime=0.002142956)]"
215,isEqual,234,2769,0,0.062289413,0.0021536750000000003,"<code object isEqual at 0x107676c30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 234>","[_lsprof.profiler_subentry(code=<code object isNegative at 0x1077b0990, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>, callcount=5538, reccallcount=0, totaltime=0.000634357, inlinetime=0.000634357), _lsprof.profiler_subentry(code=<code object termEqual at 0x1077c4350, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=2769, reccallcount=0, totaltime=0.059501381000000006, inlinetime=0.004256203)]"
185,TestLit,257,2690,0,0.007600160000000001,0.0014678150000000001,"<code object TestLit at 0x1074d97d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 257>","[_lsprof.profiler_subentry(code=<code object LookLit at 0x107760230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 215>, callcount=2690, reccallcount=0, totaltime=0.006132345, inlinetime=0.0008256040000000001)]"
330,rootFormulaNNF,311,2459,0,0.0022532380000000003,0.000839457,"<code object rootFormulaNNF at 0x1456c6800, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulacnf.py"", line 311>","[_lsprof.profiler_subentry(code=<code object __init__ at 0x1077b1a70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 106>, callcount=373, reccallcount=0, totaltime=4.6983e-05, inlinetime=4.6983e-05), _lsprof.profiler_subentry(code=<code object isLiteral at 0x1077b1f20, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/formulas.py"", line 130>, callcount=149, reccallcount=0, totaltime=1.7089000000000002e-05, inlinetime=1.7089000000000002e-05), _lsprof.profiler_subentry(code=<code object negate at 0x107774db0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 287>, callcount=92, reccallcount=0, totaltime=0.0013497090000000002, inlinetime=0.00011990000000000001)]"
